title|imdb_number|verified_imdb_number
Remember the Night|tt0032981|
Reservation Road|tt0831884|
Reservoir Dogs|tt0105236|
Road to Singapore|tt0032993|
Road to Utopia|tt0038032|
Road to Zanzibar|tt0034116|
Rope|tt0040746|
Rumble Fish|tt0086216|
Rush Hour|tt0120812|
Rush Hour 2|tt0266915|
Rush Hour 3|tt0293564|
Saboteur|tt0035279|
Sal|tt0389341|
Scarface|tt0023427|
Scorched Earth|tt0214550|
Sea of Love|tt0098273|
Secretary|tt0214104|
Serial Mom|tt0111127|
Shadow of a Doubt|tt0036342|
Shanghai Express|tt0023458|
Shattered Glass|tt0323944|
Showdown at Abilene|tt0049755|
Silent Running|tt0067756|
Six Black Horses|tt0056496|
Slaughterhouse Five|tt0069280|
Sleepaway Camp|tt0086320|
Smoke Signal|tt0048634|
Snakes on a Plane|tt0417148|
Snapshots|tt0258173|
Sold|tt0006064|
Some Velvet Morning|tt2231138|
Somebody Up There Likes Me|tt0049778|
Son of Dracula|tt0036376|
Son of Frankenstein|tt0031951|
Song One|tt2182972|
Sparrows Dance|tt1822311|
Spartacus|tt0054331|
Spellbound|tt0033088|
Starred Up|tt2567712|
Stay|tt0371257|
Stella Days|tt1773058|
Stolen|tt0365791|
Streets of Laredo|tt0041929|
Strictly Sinatra|tt0219327|
Struck by Lightning|tt0078695|
Summer in February|tt2184287|
Sunlight Jr.|tt1517249|
Supporting Characters|tt1874789|
Taking Woodstock|tt1127896|
Tales From the Hood|tt0114609|
Talk Radio|tt0096219|
Tammy and the Bachelor|tt0051051|
Tammy and the Doctor|tt0057558|
Tammy Tell Me True|tt0055503|
Ted|tt0159787|
Texas Across the River|tt0061080|
Texas Rangers Ride Again|tt0033140|
The 51st State|tt0207241|
The 60 Yard Line|tt5028598|
The Air I Breathe|tt0485851|
The Bachelor Weekend|tt2573858|
The Best Little Whorehouse in Texas|tt0083642|
The Big Lebowski|tt0118715|
The Bill Murray Experience|tt6269470|
The Birds|tt0056869|
The Black Dahlia|tt0387877|
The Bourne Supremacy|tt0372183|
The Bourne Ultimatum|tt0440963|
The Brides of Dracula|tt0053677|
The Chalk Garden|tt0057933|
The Cimarron Kid|tt0043408|
The Cocoanuts|tt0019777|
The Cold Light of Day|tt0110125|
The Comedy|tt2112293|
The Competition|tt0080556|
The Condemned|tt0076180|
The Creature Walks Among Us|tt0049103|
The Crush|tt0106627|
The Curse of the Werewolf|tt0054777|
The Day of the Jackal|tt0069947|
The Debt|tt0007844|
The Deer Hunter|tt0077416|
The Eiger Sanction|tt0072926|
The Evil of Frankenstein|tt0058073|
The Exorcist III|tt0099528|
The Four Seasons|tt0079216|
The Front Page|tt0021890|
The Ghost of Frankenstein|tt0034786|
The Giant Mechanical Man|tt1769363|
The Good Shepherd|tt0343737|
The Graduate|tt0061722|
The Great Impostor|tt0053879|
The Great Waldo Pepper|tt0073075|
The Haunting in Connecticut|tt0492044|
The Haunting of Whaley House|tt2396701|
The Hi-Lo Country|tt0120699|
The Hitcher|tt0091209|
The Horse Dancer|tt6228640|
The Humbling|tt1568343|
The Incredible Shrinking Man|tt0050539|
The Incredible Shrinking Woman|tt0082558|
The Insufferable Groo|tt8550652|
The Interpreter|tt0367155|
The Invisible Man|tt0024184|
The Invisible Man Returns|tt0032635|
The Invisible Man's Revenge|tt0036959|
The Invisible Woman|tt0032637|
The Lady Eve|tt0033804|
The Last Days of Disco|tt0120728|
The Last Rites of Joe May|tt1550902|
The Last Temptation of Christ|tt0095497|
The Life of David Gale|tt0289992|
The Love Letter|tt0014217|
The Major and the Minor|tt0035019|
The Man Who Knew Too Much|tt0025452|
The Man Who Wasn't There|tt0085892|
The Milagro Beanfield War|tt0095638|
The Mummy's Curse|tt0037098|
The Mummy's Ghost|tt0037099|
The Mummy's Hand|tt0032818|
The Mummy's Tomb|tt0035096|
The Outcasts|tt0062596|
The Paper|tt0110771|
The Phantom of the Opera|tt0016220|
The Phantom of the Opera|tt0016220|
The Promise|tt0008468|
The Proposition|tt0119960|
The Rare Breed|tt0060884|
The Rawhide Years|tt0049663|
The Redhead From Wyoming|tt0045077|
The River|tt0020335|
The Shepherd of the Hills|tt0010690|
The Spoilers|tt0004630|
The Spy Next Door|tt0475054|
The Sting|tt0070735|
The Texas Rangers|tt0028352|
The Thrill of It All|tt0057581|
The Trotsky|tt1295072|
The Trouble With Harry|tt0048750|
The Truth Is in the Stars|tt7104950|
The TV Set|tt0473709|
The Ultimate Gift|tt0482629|
The Ultimate Life|tt1718996|
The War Wagon|tt0062472|
The Wild and the Innocent|tt0053445|
The Wilde Wedding|tt5066056|
The Yellow Mountain|tt0047685|
Thick as Thieves|tt0071066|
Thomas Kinkade's Christmas Cottage|tt0999872|
Three Smart Girls|tt0028373|
Time Is Illmatic|tt3549508|
To Each His Own|tt0039040|
Topaz|tt0038180|
Topsy-Turvy|tt0086498|
Torn Curtain|tt0061107|
Transsiberian|tt0800241|
Trespass|tt0105636|
True Confession|tt0029695|
Trust|tt0103130|
Tumbleweed|tt0046469|
Turkey Bowl|tt1800401|
Twister|tt0096321|
Unexpected|tt0032628|
Untamed Frontier|tt0045281|
Upside Down|tt0194495|
Vanity Fair|tt0006210|
Vertigo|tt0052357|
W.|tt0196301|
Waiting for the Miracle to Come|tt4444732|
War, Inc.|tt3672564|
What Dreams May Come|tt0120889|
What Maisie Knew|tt0075423|
What Richard Did|tt2092011|
When Stand Up Stood Out|tt0790823|
White Palace|tt0103251|
Wild Style|tt0084904|
Wildflower|tt0004816|
Willie|tt0174340|
Written on the Wind|tt0049966|
Wyoming Mail|tt0043149|
Yanks|tt0080157|
You Laugh But It's True|tt1671547|
Zero Charisma|tt2294965|
3-2-1 Penguins!|tt1114703|
Beat the Clock|tt0042080|
Beethoven|tt0103786|
Care Bears|tt0284713|
Cleopatra in Space|tt11343400|
Curious George|tt0221100|
Dork Hunters From Outer Space|tt1380835|
Exosquad|tt0106842|
Fievel's American Tails|tt0221172|
Fifi and the Flowertots|tt0484802|
Get Out of My Room|tt0089199|
Guess With Jess|tt1695536|
Junk Drawer Magic|tt5525448|
Legend of the Dragon|tt0100047|
Life Hacks For Kids|tt4674760|
Little Charley Bear|tt1313065|
Maisy|tt1176301|
Make Way for Noddy|tt0383122|
My Life Me|tt4654650|
Noddy in Toyland|tt0251303|
Noddy's Toyland Adventures|tt0108881|
Pac-Man and the Ghostly Adventures|tt2392179|
Pocket Dragon Adventures|tt0158854|
Postman Pat|tt0149509|
Raa Raa the Noisy Lion|tt2021826|
Roary the Racing Car|tt1027544|
Sabrina the Teenage Witch|tt0066707|
Shelley Duvall's Bedtime Stories|tt0103544|
Sitting Ducks|tt0081522|
Stone Age|tt11792598|
The Big Fun Crafty Show|tt8559392|
The New Adventures of He-Man|tt0169477|
The Twisted Tales of Felix the Cat|tt0179618|
Where's Waldo?|tt0213376|
Wing Commander Academy|tt0115421|
100 Días para Enamorarnos|tt11243606|
Al Otro Lado del Muro|tt6744624|
Betty en NY|tt8682738|
Caso Cerrado|tt0088887|
Celia|tt0041236|
Cennet|tt1171672|
Corazón Valiente|tt0220373|
El Chema|tt5730624|
El Rostro de la Venganza|tt2264640|
Historias de la Virgen Morena|tt2537348|
I Love Jenni|tt1816839|
La Querida del Centauro|tt4689000|
Larrymania|tt4139590|
Mi Familia Perfecta|tt7885292|
Minuto para Ganar|tt2278710|
Más Sabe el Diablo|tt1446611|
Perro Amor|tt0224945|
Reina de Corazones|tt0357394|
Santa Diabla|tt3072546|
Un Poquito Tuyo|tt9837564|
Victoria|tt0008737|
Victorinos|tt1464507|
¿Quién es Quién?|tt0449155|
NBC Nightly News With Lester Holt|tt0231035|
Meet the Press|tt0149490|
Dateline NBC|tt0103396|
Sunday Today With Willie Geist|tt8005764|
TODAY|tt0021480|
NBC Nightly News With Lester Holt|tt0231035|
Meet the Press|tt0149490|
Dateline NBC|tt0103396|
Sunday Today With Willie Geist|tt8005764|
The Rachel Maddow Show|tt1280627|
The Reidout|tt12682354|
All In with Chris Hayes|tt2926042|
Squawk on the Street|tt0972736|
Squawk Box|tt0375456|
Closing Bell|tt1936229|
Daily Pop|tt6852266|
The Soup|tt0421460|
Celebrity Call Center|tt12718002|
Lost Speedways|tt12591286|
Being Evel|tt4076756|
In Deep With Ryan Lochte|tt12591152|
The Titan Games|tt7967262|
Feherty|tt1962630|
Cleveland Hustles|tt6049784|
In Deep With Ryan Lochte|tt12591152|
Kamome|tt0375888|
1968|tt0166470|
The Dream Team|tt0097235|
Willie|tt0174340|
1968|tt0166470|
Being Evel|tt4076756|
The Dream Team|tt0097235|
Murderball|tt0436613|
In Deep With Ryan Lochte|tt12591152|
The Titan Games|tt7967262|
Lost Speedways|tt12591286|
In Deep With Ryan Lochte|tt12591152|
Feherty|tt1962630|
American Ninja Warrior|tt1587934|
Cleveland Hustles|tt6049784|
It's Called Football|tt6361070|
Feherty|tt1962630|
Hogan|tt11136718|
Payne|tt0182623|
Jack|tt0074704|
Arnie|tt0065274|
WrestleMania Rewind|tt3974344|
WWE Ruthless Aggression|tt11958592|
WWE Untold|tt11981130|
Inside the Mind|tt0131452|
Crossroads|tt0019043|
In the Shadow of the Kop|tt11886524|
